rank,title,severity,surface,effort,effort_days,pxl_score,pxl_max,verified,impact,summary,problem,recommended_change,evidence,analysts_agreeing,opportunity_low,opportunity_high,opportunity_basis,sample_per_variant,test_days,detail_page
1,Credibility badges not near CTAs,MEDIUM,Homepage,Medium,2-5 days,5,10,no,trust,"Media logos appear only on homepage, not near CTAs on other pages.","Media logos appear only on homepage, not near CTAs on other pages.",notes: Place badges adjacent to CTAs on subpages,h2: As Featured In: | ctas: CHECK COVERAGE | SEE WHAT I QUALIFY FOR | CHECK MY COVERAGE,Trust & Social Proof,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_1_credibility_badges_not_near_ctas.html
2,Weak page metadata,MEDIUM,Site-Wide Seo,Medium,2-5 days,5,10,yes,traffic,"Search and social previews are degraded: page title, meta description, Open Graph tags are missing or outside recommended lengths.","Search and social previews are degraded: page title, meta description, Open Graph tags are missing or outside recommended lengths.",notes: Write a 15-60 char title and 70-160 char description per page; add og:title and og:image for link previews.,"Measured on the homepage: title 9 chars (15-60 recommended); description 0 chars (70-160 recommended); og:title missing, og:image missing.",Technical & Accessibility,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_2_weak_page_metadata.html
3,Duplicate plans pages split funnel,URGENT,Pricing & Plans,Medium,2-5 days,4,10,no,traffic,"Two URLs serve identical plans content, splitting the conversion path and confusing users about which is canonical.","Two URLs serve identical plans content, splitting the conversion path and confusing users about which is canonical.",h1: Let's Get You the Right Internet; notes: Consolidate to one canonical URL and redirect the other,PAGE /pages/plans | PAGE /plans | h1: Let's Get You the Right Internet | h2: The Fastest Rural & On-the-Go Internet in the USA,Funnel Path,0.4,1.6,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 2.0-8.0% relative lift",124891,,finding_3_duplicate_plans_pages_split_funnel.html
4,Social proof absent on plans page,HIGH,Pricing & Plans,Medium,2-5 days,4,10,no,trust,"Plans page lacks testimonials that appear elsewhere, missing trust at decision point.","Plans page lacks testimonials that appear elsewhere, missing trust at decision point.",notes: Add testimonials near pricing,h2: Real Stories from Real Users | h2: Real Stories from Real Users,Trust & Social Proof,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_4_social_proof_absent_on_plans_page.html
5,Coverage check appears twice in funnel,MEDIUM,Pricing & Plans,Medium,2-5 days,4,10,no,conversion,"Coverage check CTA appears on both homepage and plans page, forcing users to repeat a step.","Coverage check CTA appears on both homepage and plans page, forcing users to repeat a step.",cta: Remove redundant coverage check from plans page; notes: Carry result forward,ctas: CHECK COVERAGE | CHECK IF IT WORKS AT MY ADDRESS | SEE MY OPTIONS | GET STARTED | START CHAT | SEE WHAT I QUALIFY FOR | CHECK MY COVERAGE | ctas: CHECK COVERAGE | SEE WHAT I QUALIFY FOR | CHECK MY COVERAGE,Funnel Path,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_5_coverage_check_appears_twice_in_funnel.html
6,Guarantee signal inconsistent across pages,MEDIUM,Pricing & Plans,Low,0.5-2 days,4,10,no,trust,Guarantee heading appears on some pages but not on plans page where commitment is made.,Guarantee heading appears on some pages but not on plans page where commitment is made.,notes: Add guarantee near pricing and CTAs,h2: SHOP WITH CONFIDENCE | h2: The Fastest Rural & On-the-Go Internet in the USA,Trust & Social Proof,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_6_guarantee_signal_inconsistent_across_pages.html
7,Inconsistent price formatting across pages,MEDIUM,Pricing & Plans,Medium,2-5 days,4,10,no,conversion,"Same plans displayed with different price formats, confusing cost comparison.","Same plans displayed with different price formats, confusing cost comparison.",notes: Standardize price display format,prices: $99.95/month $129.95/month $99.95/Mo $99.95/month $129.95/month $99.95 | prices: $99.95 /month $129.95 /month $99.95/mo $0.00 $99.95 $99.99,Pricing & Cost Transparency,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_7_inconsistent_price_formatting_across_pages.html
8,One-time fees shown without context,MEDIUM,Pricing & Plans,Low,0.5-2 days,4,10,no,trust,"One-time fees listed without explanation, leaving total cost unclear.","One-time fees listed without explanation, leaving total cost unclear.",notes: Add labels explaining fees,h2: $0.00 (one-time) | h2: $99.99 (one-time),Pricing & Cost Transparency,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_8_one_time_fees_shown_without_context.html
9,Multiple competing primary CTAs,HIGH,/,Medium,2-5 days,3,10,no,conversion,"Homepage presents several equally prominent CTAs, making the next step ambiguous.","Homepage presents several equally prominent CTAs, making the next step ambiguous.",cta: CHECK COVERAGE (primary); notes: Demote other CTAs to secondary,ctas: CHECK COVERAGE | CHECK IF IT WORKS AT MY ADDRESS | SEE MY OPTIONS | GET STARTED | START CHAT | SEE WHAT I QUALIFY FOR | CHECK MY COVERAGE,Funnel Path,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_9_multiple_competing_primary_ctas.html
10,Images missing alternative text,MEDIUM,Accessibility,Low,0.5-2 days,2,10,yes,traffic,"13 of 125 images carry no alt attribute, losing both assistive technology support and the image-search traffic the alt text earns.","13 of 125 images carry no alt attribute, losing both assistive technology support and the image-search traffic the alt text earns.","notes: Add descriptive alt text; use alt="""" only for decorative images.",Measured on the live homepage: 13 of 125 <img> elements have no alt attribute.,Technical & Accessibility,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_10_images_missing_alternative_text.html
